NaCl_Percent,Target_Temp,Rep,Mercury_Temp,Temp_M01,EC_M01,Temp_M02,EC_M02
1.6,40,2,40,-,-,3853,1239
1.6,40,3,41,-,-,3850,1257
1.6,40,4,41,-,-,3554,1237
1.6,40,5,41,-,-,3810,1235
1.6,50,1,51,-,-,4728,1266
1.6,50,2,51,-,-,4786,1277
1.6,50,3,52,-,-,4883,1257
1.6,50,4,52,-,-,4932,1282
1.6,50,5,52,-,-,5037,1279
1.6,60,1,60,-,-,5664,1337
1.6,60,2,61,-,-,5805,1319
1.6,60,3,61,-,-,5891,1311
1.6,60,4,62,-,-,5968,1317
1.6,60,5,62,-,-,5947,1319
1.6,70,1,74,-,-,7380,1364
1.6,70,2,75,-,-,7355,1383
1.6,70,3,75,-,-,7355,1361
1.6,70,4,76,-,-,7483,1367
1.6,70,5,76,-,-,7406,1368
1.6,80,1,90,-,-,8041,1456
1.6,80,2,90,-,-,8931,1404
1.6,80,3,90,-,-,8776,1383
1.6,80,4,90,-,-,8708,1387
1.6,80,5,89,-,-,8831,1378
1.7,25,1,24,-,-,2417,1081
1.7,25,2,24,-,-,2401,1084
1.7,25,3,24,-,-,2403,1092
1.7,25,4,24,-,-,2389,1090
1.7,25,5,24,-,-,2401,1093
1.7,30,1,30,-,-,2956,1134
1.7,30,2,31,-,-,3007,1131
1.7,30,3,31,-,-,3050,1130
1.7,30,4,31,-,-,3045,1124
1.7,30,5,31,-,-,3050,1121
1.7,40,1,41,-,-,3874,1184
1.7,40,2,41,-,-,3945,1187
1.7,40,3,41,-,-,4021,1186
1.7,40,4,41,-,-,3960,1176
1.7,40,5,41,-,-,3912,1170
1.7,50,1,51,-,-,4760,1209
1.7,50,2,51,-,-,4902,1193
1.7,50,3,51,-,-,4944,1194
1.7,50,4,51,-,-,4883,1205
1.7,50,5,51,-,-,4929,1199
1.7,60,1,64,-,-,5790,1225
1.7,60,2,65,-,-,6124,1236
1.7,60,3,65,-,-,6075,1226
1.7,60,4,65,-,-,6254,1204
1.7,60,5,65,-,-,6225,1220
1.7,70,1,75,-,-,6353,1234
1.7,70,2,75,-,-,7208,1253
1.7,70,3,74,-,-,7297,1206
1.7,70,4,74,-,-,6994,1217
1.7,70,5,74,-,-,7177,1230
1.7,80,1,82,-,-,7664,1272
1.7,80,2,82,-,-,7701,1263
1.7,80,3,82,-,-,7846,1264
1.7,80,4,83,-,-,7927,1239
1.7,80,5,83,-,-,7937,1229
1.8,25,1,23,-,-,2331,1104
1.8,25,2,23,-,-,2338,1112
1.8,25,3,23,-,-,2331,1106
1.8,25,4,23,-,-,2302,1109
1.8,25,5,23,-,-,2297,1113
1.8,30,1,30,-,-,2878,1177
1.8,30,2,30,-,-,2903,1153
1.8,30,3,30,-,-,2956,1151
1.8,30,4,30,-,-,2989,1146
1.8,30,5,30,-,-,3027,1153
1.8,40,1,41,-,-,3848,1185
1.8,40,2,41,-,-,3942,1190
1.8,40,3,41,-,-,3957,1189
1.8,40,4,41,-,-,4005,1191
1.8,40,5,41,-,-,3993,1188
1.8,50,1,53,-,-,4979,1196
1.8,50,2,53,-,-,4936,1202
1.8,50,3,53,-,-,5154,1223
1.8,50,4,53,-,-,5215,1216
1.8,50,5,53,-,-,5166,1190
1.8,60,1,65,-,-,6214,1201
1.8,60,2,65,-,-,6277,1226
1.8,60,3,65,-,-,6371,1213
1.8,60,4,65,-,-,6389,1224
1.8,60,5,65,-,-,6456,1210
1.8,70,1,76,-,-,6943,1284
1.8,70,2,76,-,-,7338,1260
1.8,70,3,76,-,-,7355,1250
1.8,70,4,76,-,-,7448,1236
1.8,70,5,76,-,-,7224,1226
1.8,80,1,84,-,-,8205,1283
1.8,80,2,86,-,-,8585,1257
1.8,80,3,86,-,-,8403,1260
1.8,80,4,86,-,-,8526,1236
1.8,80,5,86,-,-,8451,1237
1.9,25,1,23,-,-,2331,1121
1.9,25,2,23,-,-,2331,1121
1.9,25,3,23,-,-,2312,1126
1.9,25,4,23,-,-,2331,1125
1.9,25,5,23,-,-,2329,1124
1.9,30,1,31,-,-,2951,1170
1.9,30,2,31,-,-,2938,1170
1.9,30,3,31,-,-,3009,1177
1.9,30,4,31,-,-,3050,1164
1.9,30,5,31,-,-,3030,1174
1.9,40,1,41,-,-,3516,1211
1.9,40,2,41,-,-,3715,1201
1.9,40,3,41,-,-,3689,1202
1.9,40,4,41,-,-,3737,1207
1.9,40,5,41,-,-,3868,1204
1.9,50,1,52,-,-,4879,1204
1.9,50,2,52,-,-,4913,1222
1.9,50,3,53,-,-,5029,1195
1.9,50,4,53,-,-,5053,1211
1.9,50,5,54,-,-,5065,1217
1.9,60,1,63,-,-,5916,1214
1.9,60,2,63,-,-,5979,1220
1.9,60,3,63,-,-,5947,1218
1.9,60,4,63,-,-,6059,1208
1.9,60,5,63,-,-,6059,1198
